Iteración: 127, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 128, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 129, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 130, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 131, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 132, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 133, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 134, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 135, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 136, Fitness: 0.025841386101494224, Valores: [0.05917925018383543, 0.25, 12.155785006619196]
Iteración: 137, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 138, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 139, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 140, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 141, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 142, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 143, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 144, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 145, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 146, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 147, Fitness: 0.025841385913635384, Valores: [0.059180683449473574, 0.25, 12.157370750267841]
Iteración: 148, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 149, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 150, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 151, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 152, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 153, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 154, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 155, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
Iteración: 156, Fitness: 0.025841385857199237, Valores: [0.05918032466546436, 0.25, 12.157259659418825]
